english, hindi
Naresh_Chandra,नरेश चन्द्रा
Ram_Narayan,राम नारायण
Man_Mohan_Sharma,मनमोहन शर्मा
Kalu_Lal_Shrimali,के॰ एल॰ श्रीमाली
Nagendra_Singh,नगेन्द्र सिंह
Daulat_Singh_Kothari,दौलत सिंह कोठारी
Mohan_Sinha_Mehta,मोहन सिंह मेहता
Manikya_Lal_Varma,माणिक्यलाल वर्मा
Ghanshyam_Das_Birla,घनश्यामदास बिड़ला
Padma_Bhushan,पद्म भूषण
Komal_Kothari,कोमल कोठारी
Durga_Lal,दुर्गा लाल
Jagat_Singh_Mehta,जगत मेहता
Ram_Narain_Agarwal,रामनारायण अग्रवाल
L._M._Singhvi,लक्ष्मीमल्ल सिंघवी
Natwar_Singh,नटवर सिंह
Bhogilal_Pandya,भोगीलाल पांड्या
Narayandas_Malkani,एन आर मलकानी
Lt_Gen_Sagat_Singh,सगत सिंह
Gokulbhai_Bhatt,गोकुलभाई भट्ट
Prabhu_Lal_Bhatnagar,प्रभु लाल भटनागर
Rao_Raja_Hanut_Singh,राव राजा हनुत सिंह
Padma_Shri,पद्म श्री
Krishna_Poonia,कृष्णा पूनिया
Arjun_Prajapati,अर्जुन प्रजापति
Vijaydan_Detha,विजयदान देथा
Rajyavardhan_Singh_Rathore,राज्यवर्धन सिंह राठौड़
Kanhaiyalal_Sethia,कन्हैयालाल सेठिया
Vishwa_Mohan_Bhatt,विश्व मोहन भट्ट
Kailash_Sankhala,कैलाश सांखला
Lashmi_Kumari_Chundawat,लक्ष्मी कुमारी चूड़ावत
Allah_Jilai_Bai,अल्लाह जिलाई बाई
Shree_Lal_Joshi,श्री लाल जोशी
Sita_Ram_Lalas,सीताराम लालस
Kripal_Singh_Shekhawat,कृपाल सिह शेखावत
Yudhvir_Singh,युद्धवीर सिंह
Sis_Ram_Ola,शीशराम ओला
Kanwar_Sain,कुँवर सैन
Sudhir_Tailang,सुधीर तैलंग
Magsaysay_Award,रेमन मैगसेसे पुरस्कार
Rajendra_Singh,राजेन्द्र सिंह
Lalit_Kala_Akademi_Fellowship,ललित कला अकादमी के सभासदों की सूची
Kala_Nath_Shastry,कलानाथ शास्त्री
Godfrey_Phillips_National_Bravery_Awards,रेड एंड व्हाइट गोल्ड अवार्ड
Piru_Singh_Shekhawat,पीरू सिंह
Kishan_Singh_Rathore,किशन सिंह राठौड़
Digendra_Kumar,दिगेंद्र कुमार
Hanut_Singh,राव राजा हनुत सिंह
Amar_Singh_Rathore,अमरसिंह राठौड़
Bhanu_Pratap_Singh,भानु प्रताप सिंह
Bhairon_Singh_Shekhawat,भैरोंसिंह शेखावत
Hari_Dev_Joshi,हरिदेव जोशी
Mohan_Lal_Sukhadia,मोहन लाल सुखाड़िया
Karnataka,कर्नाटक
Tamil_Nadu,तमिल नाडु
Andhra_Pradesh,आन्ध्र प्रदेश
Nawal_Kishore_Sharma,नवल किशोर शर्मा
Sunder_Singh_Bhandari,सुन्दर सिंह भण्डारी
Ajai_Singh,अजय सिंह
Banwari_Lal_Joshi,बनवारी लाल जोशी
Shiv_Charan_Mathur,शिवचरण माथुर
Jagannath_Pahadia,जगन्नाथ पहाड़िया
Kamla_Beniwal,कमला बेनीवाल
Heera_Lal_Shastri,हीरा लाल शास्त्री
Jai_Narayan_Vyas,जय नारायण व्यास
Barkatullah_Khan,बरकतुल्लाह ख़ान
Hira_Lal_Devpura,हीरा लाल देवपुरा
Ashok_Gehlot,अशोक गहलोत
Tika_Ram_Paliwal,टीका राम पालीवाल
Hari_Shankar_Bhabhra,हरिशंकर भाभड़ा
Jaswant_Singh,जसवंत सिंह
Kalyan_Singh_Kalvi,कल्याण सिंह कालवी
Nathuram_Mirdha,नाथूराम मिर्धा
Subhash_Maharia,सुभाष महरिया
Girija_Vyas,गिरिजा व्यास
Rajesh_Pilot,राजेश पायलट
Ram_Niwas_Mirdha,राम निवास मिर्धा
Kailash_Meghwal,कैलाश चन्द्र मेघवाल
Jaskaur_Meena,जसकौर मीणा
Sachin_Pilot,सचिन पायलट
Namo_Narain_Meena,नमो नारायण मीणा
Kirori_Lal_Meena,किरोड़ी लाल मीणा
Sanwar_Lal_Jat,सांवर लाल जाट
Deependra_Singh_Shekhawat,दीपेन्द्र सिंह शेखावत
Sumitra_Singh,सुमित्रा सिंह
Parasram_Maderna,परसराम मदेरणा
Laxman_Singh,लक्ष्मण सिंह
Kailash_Chandra_Meghwal,कैलाश चन्द्र मेघवाल
Gayatri_Devi,गायत्री देवी
Rawal_Umed_Singh_Rathore_Barmer,उम्मेद सिँह (राजनीतिज्ञ)
Jawan_Singh,जवान सिंह
Chaudhari_Kumbharam_Arya,कुंभाराम आर्य
Mamta_Sharma,ममता शर्मा
Maharaja_Karni_Singh,करणी सिंह
Devendra_Jhajharia,देवेन्द्र झाझड़िया
Parthasarathy_Sharma,पार्थसारथी शर्मा
Gangotri_Bhandari,गंगोत्री भण्डारी
Abhijeet_Gupta,अभिजीत गुप्ता
Guru_Hanuman,गुरु हनुमान
Lakshmi_Mittal,लक्ष्मी मित्तल
Jamnalal_Bajaj,जमनालाल बजाज
Chanda_Kochhar,चंदा कोचर
Desh_Bandhu_Gupta,देश बंधु गुप्ता
Rajendra_Mal_Lodha,राजेन्द्र मल लोढ़ा
Dalveer_Bhandari,दलवीर भंडारी
Kan_Singh_Parihar,कान सिंह परिहार
Milap_Chand_Jain,मिलाप चंद जैन
Rajendra_Singh_Paroda,राजेंद्र सिंह परोदा
Kamla_Nath_Sharma,कमलानाथ
P._K._Sethi,प्रमोद करण सेठी
Karpoor_Chand_Kulish,कर्पूर चन्द्र कुलिश
Rajasthan_Patrika,राजस्थान पत्रिका
Ved_Pratap_Vaidik,वेद प्रताप वैदिक
Kunwar_Natwar_Singh,नटवर सिंह
Nand_Kishore_Acharya,नंदकिशोर आचार्य
Acharya_Rajendrasuri,राजेन्द्रसूरी
Bhatt_Mathuranath_Shastri,भट्ट मथुरानाथ शास्त्री
Mandan_Mishra,डॉ मंडन मिश्र
Vidyadhar_Shastri,विद्याधर शास्त्री
Suvigya_Sharma,सुविज्ञ शर्मा
Ananya_Birla,अनन्या बिड़ला
Ila_Arun,ईला अरुण
Jagjit_Singh,जगजीत सिंह
Mehdi_Hassan,मेहदी हसन
Sandeep_Acharya,संदीप आचार्य
Shreya_Ghoshal,श्रेया घोषाल
Wasifuddin_Dagar,वासिफुद्दीन डागर
Zia_Fariddudin_Dagar,ज़िया फ़रीदुद्दीन डागर
Roop_Kumar_Rathod,रूप कुमार राठौड
Shravan_Kumar,श्रवणकुमार
Bharat_Vyas,भरत व्यास
Tarachand_Barjatya,ताराचंद बड़जात्या
Om_Shivpuri,ओम शिवपुरी
Mani_Kaul,मणि कौल
Hasrat_Jaipuri,हसरत जयपुरी
Irrfan_Khan,इरफ़ान ख़ान
Karmveer_Choudhary,कर्मवीर चौधरी
Pinchoo_Kapoor,पिंचू कपूर
K._C._Bokadia,के॰ सी॰ बोकाड़िया
Annu_Kapoor,अन्नू कपूर
Smita_Bansal,स्मिता बंसल
Sakshi_Tanwar,साक्षी तंवर
Hanuman_Prasad_Poddar,हनुमान प्रसाद पोद्दार
Bhanwari_Devi,भंवरी देवी
Rao_Gopal_Singh_Kharwa,राव गोपाल सिंह खरवा
Lothoo_Nitharwal,लोठू निठारवाल
Sagarmal_Gopa,सागरमल गोपा
Bharat_Pratap_Singh,प्रतापसिंह बारहठ
Swami_Keshwanand,स्वामी केशवानन्द
Hanuman_Singh_Budania,हनुमानसिंह बुडानिया
Vijay_Singh_Pathik,विजय सिंह पथिक
Rao_Tula_Ram,राव तुला राम
Guru_Jambheshwar,गुरु जम्भेश्वर
Baba_Ramdevji,रामदेव पीर
Mata_Rani_Bhatiyani,रानी भटियानी
Gogaji,गोगाजी
Dadu_Dayal,दादूदयाल
Karmabai,कर्माबाई
Acharya_Mahaprajna,आचार्य महाप्रज्ञ
Rana_Pratap_Singh,महाराणा प्रताप
Rawal_Mallinath,रावल मल्लिनाथ
Bappa_Rawal,बप्पा रावल
Vigraharaja_IV,विग्रहराज चौहान
Prithvi_Raj_Chauhan,पृथ्वीराज चौहान
Hammir_Dev_Chauhan,हम्मीर चौहान
Rana_Sanga,राणा सांगा
Rao_Jodha,राव जोधा
Rao_Bika,राव बीका
Maharana_Udai_Singh,उदयसिंह द्वितीय
Raja_Man_Singh,राजा मान सिंह
Durga_Das_Rathore,दुर्गादास राठौड
Jai_Singh_II,जय सिंह द्वितीय
Badan_Singh,बदन सिंह
Maharana_Hammir,राणा हम्मीर सिंह
Rana_Kumbha,महाराणा कुम्भा
Maharaja_Jaswant_Singh,महाराजा जसवंत सिंह (मारवाड़)
Maharaja_Ganga_Singh,गंगा सिंह
Maharaja_Suraj_Mal,सूरज मल
Panna_Dhai,पन्ना धाय
Hada_Rani,हाड़ी रानी
Rani_Padmini,पद्मिनी
Lok_Sabha,लोक सभा
Gambhari_Devi,गंभरी देवी
Sobha_Singh,सोभा सिंह
Vikram_Batra,विक्रम बत्रा
Param_Vir_Chakra,परमवीर चक्र
Saurabh_Kalia,सौरभ कालिया
Victoria_Cross,विक्टोरिया क्रास
Som_Nath_Sharma,सोमनाथ शर्मा
Dhan_Singh_Thapa,धनसिंह थापा
Sher_Jung_Thapa,शेर जंग थापा
Mahavir_Chakra,महावीर चक्र
Ravi_Bhatia,रवि भाटिया
Mohit_Chauhan,मोहित चौहान
Prem_Chopra,प्रेम चोपड़ा
Shipra_Khanna,शिप्रा खन्ना
Anupam_Kher,अनुपम खेर
Kangana_Ranaut,कंगना राणावत
Priya_Rajvansh,प्रिया राजवंश
Asmita_Sood,अस्मिता सूद
Prem_Kumar_Dhumal,प्रेम कुमार धूमल
Shanta_Kumar,शांता कुमार
Virbhadra_Singh,वीरभद्र सिंह
Anurag_Thakur,अनुराग ठाकुर
Jagat_Prakash_Nadda,जगत प्रकाश नड्डा
Anand_Sharma,आनंद शर्मा
Jai_Ram_Thakur,जयराम ठाकुर
Professor,प्रोफ़ेसर
Madan_Lal,मदन लाल
Rishi_Dhawan,ऋषि धवन
Sushma_Verma,सुषमा वर्मा
Samaresh_Jung,समरेश जंग
Shiva_Keshavan,शिवा केशवन
Suman_Rawat,सुमन रावत
Manavjit_Singh_Sandhu,मानवजीत सिंह सन्धू
Charanjit_Singh,चरणजीत सिंह
Tenzin_Gyatso,तेनजिन ग्यात्सो
Nobel_Peace_Prize,नोबल शांति पुरस्कार
Baba_Kanshi_Ram,बाबा कांशीराम
Kinkri_Devi,किंकरी देवी
Shyam_Saran_Negi,श्याम सरन नेगी
General_Zorawar_Singh,जोरावर सिंह कहलुरिया
Thakur_Ram_Singh,ठाकुर रामसिंह
Amitabh_Mattoo,अमिताभ मट्टू
Subhash_Kak,सुभाष काक
Shah_Faesal,शाह फैसल
Bhajan_Sopori,भजन सोपोरी
Dina_Nath_Walli,दीना नाथ वल्ली
Ghulam_Rasool_Santosh,गुलाम रसूल सन्तोष
Rahul_Bhat,राहुल भट
Tochi_Raina,तोची रैना
Malika_Pukhraj,मलिका पुखराज
Pandit_Shivkumar_Sharma,शिवकुमार शर्मा
Jitendra_Udhampuri,जितेन्द्र उधमपुरी
Zaira_Wasim,ज़ायरा वसीम
Bana_Singh,बन्ना सिंह
Chewang_Rinchen,चेवांग रिंचेन
General_Bikram_Singh,बिक्रम सिंह
Rajinder_Singh,राजिन्दर सिंह
Hina_Khan,हिना खान
Sandeepa_Dhar,संदीपा धर
K._K._Raina,के॰ के॰ रैना
Kiran_Kumar,किरण कुमार
KL_Saigal,कुन्दन लाल सहगल
Kunal_Khemu,कुणाल खेमू
Loveleen_Kaur_Sasan,लवलीन कौर सासन
M._K._Raina,महाराज कृष्ण रैना
Mohammed_Iqbal_Khan,इक़बाल खान
Mohit_Raina,मोहित रैना
Mukesh_Rishi,मुकेश ऋषि
Om_Prakash,ओम प्रकाश
Raaj_Kumar,राज कुमार
Raj_Zutshi,राजेन्द्रनाथ ज़ुत्शी
Sana_Dua,सना दुआ
Sanjay_Kak,संजय काक
Sanjay_Suri,संजय सूरी
Shaheer_Sheikh,शहीर शेख
Siddharth_Kak,सिद्धार्थ काक
Tej_Sapru,तेज सप्रू
Vidhu_Vinod_Chopra,विधु विनोद चोपड़ा
Vidyut_Jamwal,विद्युत जामवाल
Vivek_Mushran,विवेक मुशरान
Nidhi_Razdan,निधि राज़दान
Shujaat_Bukhari,शुजात बुखारी
Adarsh_Sein_Anand,ए एस आनंद
Mehr_Chand_Mahajan,मेहरचंद महाजन
Deen_Bandhu_Sharma,बंधु शर्मा
Farooq_Nazki,एम. फ़ारूक़ नाज़की
Habba_Khatun,हब्बा ख़ातून
Moti_Lal_Kemmu,मोती लाल केम्मू
Padma_Sachdev,पद्मा सचदेव
Bakshi_Ghulam_Mohammad,बख्शी ग़ुलाम मोहम्मद
Farooq_Abdullah,फारूक अब्दुल्ला
Cabinet_Minister,मंत्री
Ghulam_Nabi_Azad,ग़ुलाम नबी आज़ाद
Karan_Singh,कर्ण सिंह
Omar_Abdullah,उमर अब्दुल्ला
Shamma_Jain,शमा जैन
Sheikh_Abdullah,शेख़ अब्दुल्ला
Mehbooba_Mufti,महबूबा मुफ़्ती
Mufti_Mohammad_Sayeed,मुफ़्ती मोहम्मद सईद
Gulab_Singh,महाराज गुलाब सिंह
Hari_Singh,महाराज हरि सिंह
Parvez_Rasool,परवेज़ रसूल
Chain_Singh,चैन सिंह
Durga_Das_Basu,दुर्गा दास बसु
Bahasa_Indonesia,इंडोनेशियाई भाषा
Fakhruddin_Ali_Ahmed,फ़ख़रुद्दीन अली अहमद
Devakanta_Barua,देवकांत बरुआ
Gopinath_Bordoloi,गोपीनाथ बोरदोलोई
Bharat_Ratna,भारत रत्‍न
Harishankar_Brahma,एच॰ एस॰ ब्रह्मा
Ranjan_Gogoi,रंजन गोगोई
Krishna_Kanta_Handiqui,कृष्णकांत हांदिकी
Nabakanta_Barua,नवकांत बरुआ
Mamoni_Raisom_Goswami,इंदिरा रायसम गोस्वामी
Bhabendra_Nath_Saikia,भवेन्द्रनाथ सइकीया
Jaya_Battacharya,जया भट्टाचार्य
Devoleena_Bhattacharjee,देवोलीना भट्टाचार्य
Seema_Biswas,सीमा बिस्वास
Priyadarshini_Chatterjee,प्रियदर्शनी चटर्जी
Angoorlata_Deka,अंगूरलता डेका
Monikangana_Dutta,मोनिकंगना दत्ता
Zubeen_Garg,जुबिन गर्ग
Adil_Hussain,आदिल हुसैन
Mohini,मोहिनी अवतार
Rati_Pandey,रति पांडे
Jyoti_Prasad_Agarwala,ज्योतिप्रसाद आगरवाला
Bhupen_Hazarika,भूपेन हाजरिका
Reema_Kagti,रीमा कागती
Rima_Das,रीमा दास
Arnab_Goswami,अर्णव गोस्वामी
Ananda_Chandra_Barua,आनंद चंद्र बरुआ
Dipali_Borthakur,दीपाली बरठाकुर
Bishnu_Prasad_Rabha,विष्णुप्रसाद राभा
Dipali_Barthakur,दीपाली बरठाकुर
Parveen_Sultana,परवीन सुल्ताना
Kalpana_Patowary,कल्पना पटवारी
Pratima_Barua_Pandey,प्रतिमा बरुआ पांडे
Chandra_Kumar_Agarwala,चंद्रकुमार अग्रवाल
Hemchandra_Barua,हेमचन्द्र बरुआ
Lakshminath_Bezbaroa,लक्ष्मीनाथ बेजबरुवा
Birendra_Kumar_Bhattacharya,वीरेन्द्र कुमार भट्टाचार्य
Nalinidhar_Bhattacharya,नलिनीधर भट्टाचार्य
Hiren_Bhattacharyya,हीरेन भट्टाचार्य
Dhrubajyoti_Bora,ध्रुव ज्योति बोरा
Mahim_Bora,महिमा बरा
Saurabh_Kumar_Chaliha,सौरभ कुमार चालिहा
Rebati_Mohan_Dutta_Choudhury,शीलभद्र (राबती मोहन दत्त चौधुरी)
Rita_Chowdhury,रीता चौधुरी
Jogesh_Das,जोगेश दास
Harekrishna_Deka,हरेकृष्ण डेका
Nalini_Bala_Devi,नलिनी बाला देवी
Jatindra_Nath_Duwara,जतीन्द्रनाथ दुवेरा
Hiren_Gohain,हीरेन गोहार्इं
Hemchandra_Goswami,हेमचंद्र गोस्वामी
Krishna_Kanta_Handique,कृष्णकांत हांदिकी
Atul_Chandra_Hazarika,अतुलचंद्र हज़ारिका
Banikanta_Kakati,बाणीकांत काकति
Madhava_Kandali,माधव कंदलि
Rudra_Kandali,रुद्र कंदलि
Syed_Abdul_Malik,सैयद अब्दुल मलिक
Nilmani_Phookan,नीलमणि फूकन (कनिष्ठ)
Mitra_Phukan,मित्रा फुकन
Arupa_Kalita_Patangia,अरूपा पतंगीया कलिता
Bishnuprasad_Rabha,विष्णुप्रसाद राभा
Jyoti_Prasad_Rajkhowa,ज्योति प्रसाद राजखोवा
Hema_Saraswati,हेम सरस्वती
Benudhar_Sharma,बेनुधर शर्मा
Harivara_Vipra,हरिवर विप्र
Gopaldeva_Bhawanipuria_Aata,गोपालदेव
Haribar_Bipra,हरिवर विप्र
Nalinibala_Devi,नलिनी बाला देवी
Madhav_Kandali,माधव कंदलि
Hem_Saraswati,हेम सरस्वती
Kanaklata_Baruah,कनकलता बरुआ
Lachit_Borphukan,लाचित बोड़फुकन
Maniram_Dewan,मनिराम देवान
Kushal_Konwar,कुशल कोंवार
Tarun_Ram_Phukan,तरुण राम फुकन
Kumar_Bhaskara_Varman,भास्कर वर्मन
Badruddin_Ajmal,बदरुद्दीन अजमल
Debakanta_Barua,देवकांत बरुआ
Prafulla_Kumar_Mahanta,प्रफुल्ल कुमार महन्त
Himanta_Biswa_Sarma,हिमन्त विश्व शर्मा
Sarbananda_Sonowal,सर्बानन्द सोणोवाल
Syeda_Anwara_Taimur,सैयदा अनवरा तैमूर
Kalicharan_Brahma,कालीचरन ब्रह्म
Abhijeet_Bhattacharya,अभिजीत भट्टाचार्य
Hima_Das,हिमा दास
Gokul_Sharma,गोकुल शर्मा
Shiva_Thapa,शिवा थापा
Riyan_Parag,रियान पराग
Robin_Banerjee,रोबिन बनर्जी
Jadav_Payeng,जादव पायेंग
Uddhab_Bharali,उद्धव भराली
Joyanti_Chutia,जॉयन्ति चुटिया
Ahmedabad_Mirror,द टाइम्स ऑफ़ इण्डिया
Chhota_Udaipur,छोटा उदयपुर
Kachchh,कच्छ जिला
Kheda,खेड़ा
Mehsana,महेसाणा
Gandhidham,गांधीधाम
Sardar_Sarovar_Dam,सरदार सरोवर परियोजना
Rani_Rudrama_Devi,रुद्रम देवी
Mir_Mahbub_Ali_Khan,महबूब अली खान
Mir_Osman_Ali_Khan,मीर उस्मान अली ख़ान
Kaloji,कालोजी नारायण राव
Cingireddy_Narayana_Reddy,सी॰ नारायण रेड्डी
Ali_Yavar_Jung,अली यावर जंग
Padmaja_Naidu,पद्मजा नायडू
Paidi_Jairaj,पैडी जयराज
C._Narayanareddy,सी॰ नारायण रेड्डी
Harindranath_Chattopadhyay,हरींद्रनाथ चट्टोपाध्याय
Haroon_Khan_Sherwani,हारुन खान शेरवानी
Saina_Nehwal,साइना नेहवाल
Sania_Mirza,सानिया मिर्ज़ा
Palle_Rama_Rao,पल्ले रामा राव
Mohammad_Azharuddin,मोहम्मद अजहरुद्दीन
Pusarla_Venkata_Sindhu,पी॰वी॰ सिंधु
Kidambi_Srikanth,श्रीकांत किदम्बी
Parupalli_Kashyap,पी॰ कश्यप
Gagan_Narang,गगन नारंग
Nerella_Venu_Madhav,नेरेला वेणुमाधव
P._V._Sindhu,पी॰वी॰ सिंधु
Sunitha_Krishnan,सुनीता कृष्णन
VVS_Laxman,वी वी एस लक्ष्मण
Mohammad_Ali_Baig,मोहम्मद अली बेग
Srikanth_Kidambi,श्रीकांत किदम्बी
Shantha_Sinha,शांता सिन्हा
Perugu_Siva_Reddy,पेरुगु शिवा रेड्डी
Suravaram_Pratap_Reddy,सुरवरम् प्रताप रेड्डी
Daasarathi_Krishnamacharyulu,दाशरथि
Kakatiya_University,काकतीय विश्वविद्यालय
Yogi_Vemana_University,योगी वेमना विश्वविद्यालय
Vijay_Deverakonda,विजय देवरकोंडा
Aditi_Rao_Hydari,अदिति राव हैदरी
Dasarathi_Krishnamacharya,दाशरथि
Shyam_Benegal,श्याम बेनेगल
Vennela_Kishore,वेन्नेला किशोर
Shabana_Azmi,शबाना आज़मी
Farah_Naaz,फरहा
Tabassum_Hashmi,तबु
Dia_Mirza_Handrich,दीया मिर्ज़ा
Nagesh_Kukunoor,नागेश कुकुनूर
Air_Chief_Marshal,एयर चीफ़ मार्शल
Muhammad_Quli_Qutb_Shah,मुहम्मद क़ुली क़ुतुब शाह
Amjad_Hyderabadi,अमजद हैदराबादी
Makhdoom_Mohiuddin,मखदूम मोहिउद्दीन
Krishnamacharyulu_Dasaradhi,दाशरथि
Kaloji_Narayana_Rao,कालोजी नारायण राव
Ampasayya_Naveen,डी. नवीन
Fani_Badayuni,फ़ानी बदायूँनी
Suravaram_Pratapareddy,सुरवरम् प्रताप रेड्डी
Waheed_Akhtar,वहीद अख़्तर
Arunodaya_Vimala,विमालक्का
Kalvakuntla_Chandrashekar_Rao,के॰ चंद्रशेखर राव
P._V._Narasimha_Rao,पी॰ वी॰ नरसिम्हा राव
Burgula_Ramakrishna_Rao,बुर्गुला रामकृष्ण राव
Marri_Chenna_Reddy,मर्री चेन्ना रेड्डी
Bandaru_Dattatreya,बण्डारू दत्तारेय
Jaipal_Reddy,एस जयपाल रेड्डी
Suravaram_Sudhakar_Reddy,सुरवरम सुधाकर रेड्डी
Sarojini_Naidu,सरोजिनी नायडू
Renuka_Chowdhury,रेणुका चौधरी
P._Shiv_Shankar,पी॰ शिव शंकर
Gutha_Sukender_Reddy,जी॰एस॰ रेड्डी
K._T._Rama_Rao,केटी राम राव
K._Kavitha,कलवाकुन्तल कविता
G._Kishan_Reddy,जी. किशन रेड्डी
Kadiyam_Srihari,काडियम श्रीहरी
Kodangal,कोडंगल
Asaduddin_Owaisi,असदुद्दीन ओवैसी
Khwaja_Bande_Nawaz,ख़्वाजा बंदे नवाज़
Maulana_Mohammad_Ali,मुहम्मद अली जौहर
Mithali_Raj,मिताली राज
Jwala_Gutta,ज्वाला गुट्टा
Komaram_Bheem,कोमाराम भीम
Mohammed_Siraj,मोहम्मद सिराज
Diya_Mirza,दीया मिर्ज़ा
Vivek_Oberoi,विवेक ओबेरॉय
Harsha_Bhogle,हर्षा भोगले
Ambati_Rayudu,अंबाती रायडू
Shivlal_Yadav,शिवलाल यादव
Abbas_Ali_Baig,अब्बास अली बेग
Mahendra_Singh_Dhoni,महेंद्र सिंह धोनी
Kariya_Munda,करिया मुंडा
Deepika_Kumari,दीपिका कुमारी
Mukund_Nayak,मुकुंद नायक
Premlata_Agarwal,प्रेमलता अग्रवाल
Ram_Dayal_Munda,राम दयाल मुंडा
Nikita_Singh,निकिता सिंह
Meiyang_Chang,मेयांग चांग
R._Madhavan,माधवन
Zeishan_Quadri,ज़ीशान कादरी
Ishita_Dutta,इशिता दत्ता
Komal_Jha,कोमल झा
Madhurima_Tuli,मधुरिमा तुली
Meenakshi_Seshadri,मीनाक्षी शेषाद्रि
Priyanka_Chopra,प्रियंका चोपड़ा
Miss_World,विश्व सुन्दरी
Shweta_Prasad,श्वेता बासु प्रसाद
Ranchi,राँची
